DEBUG:root:Creating folder `./models/2020-09-24_175224`
INFO:root:Saving configuration file in `/home/paperspace/learning-to-learn/models/2020-09-24_175224/config.json`
cuda
Namespace(batch_size=10, dataset='quickdraw', first_order=False, folder='/storage/smb79ck2/ndata/', hidden_size=20, meta_lr=0.0005, num_batches=100, num_epochs=50, num_shots=5, num_shots_test=5, num_steps=5, num_training_samples=20, num_ways=10, num_workers=1, output_folder='./models', random_seed=123, step_size=0.005, use_cuda=True, verbose=True)
epoch           train loss      train acc       train prec      val loss        val acc         val prec     
1               2.25284         0.16770         0.15065         2.16956         0.21560         0.20670      
2               2.05237         0.28216         0.27570         1.94560         0.34102         0.33378      
3               1.81313         0.39736         0.40108         1.74709         0.42626         0.42913      
4               1.62882         0.46952         0.47700         1.60610         0.47402         0.47799      
5               1.50197         0.51014         0.52460         1.54158         0.49958         0.50384      
6               1.41479         0.53390         0.54960         1.46171         0.52604         0.53595      
7               1.34532         0.56160         0.57918         1.39404         0.55214         0.56490      
8               1.30660         0.57606         0.59536         1.38022         0.55452         0.56733      
9               1.24658         0.59556         0.61566         1.33345         0.56956         0.58551      
10              1.20131         0.61162         0.63280         1.35940         0.55872         0.57634      
11              1.17779         0.61956         0.64050         1.35021         0.56776         0.58441      
12              1.13270         0.63958         0.66103         1.29688         0.58628         0.60068      
13              1.06553         0.65712         0.67833         1.26701         0.59512         0.61364      
14              1.02987         0.66664         0.68869         1.29414         0.58658         0.60375      
15              1.00868         0.67546         0.69792         1.26386         0.59704         0.61160      
16              0.97869         0.68294         0.70424         1.26821         0.59108         0.60696      
17              0.95648         0.69296         0.71641         1.27562         0.59290         0.61211      
18              0.93728         0.69542         0.71815         1.29006         0.58872         0.60729      
19              0.92075         0.70220         0.72545         1.29956         0.58666         0.60359      
20              0.92053         0.70144         0.72516         1.28584         0.58792         0.60608      
21              0.91788         0.70296         0.72648         1.28803         0.58886         0.60753      
22              0.86233         0.71636         0.73931         1.31195         0.58320         0.60130      
23              0.85721         0.72000         0.74259         1.32907         0.57564         0.59205      
24              0.90943         0.70352         0.72697         1.35191         0.56360         0.57968      
25              0.87562         0.71572         0.73934         1.31588         0.58250         0.59888      
26              0.83069         0.72742         0.74899         1.34317         0.57546         0.59153      
27              0.83969         0.72114         0.74285         1.31305         0.58460         0.60309      
28              0.80977         0.73438         0.75651         1.43735         0.53630         0.55494      
29              0.95004         0.69402         0.71696         1.33192         0.57844         0.59483      
30              0.81444         0.73570         0.75758         1.33447         0.57752         0.59407      
31              0.81311         0.73264         0.75640         1.34619         0.57036         0.58783      
32              0.78236         0.74138         0.76337         1.35899         0.57668         0.59328      
33              0.74932         0.75296         0.77389         1.34346         0.58206         0.59874      
34              0.74671         0.75436         0.77711         1.36873         0.57428         0.58824      
35              0.72468         0.75982         0.78319         1.37206         0.57284         0.58833      
36              0.71378         0.76354         0.78474         1.36834         0.57472         0.58831      
37              0.69868         0.76692         0.78939         1.39146         0.56168         0.57725      
38              0.73776         0.75562         0.77754         1.35370         0.57144         0.58620      
39              0.70389         0.76880         0.79049         1.35539         0.57938         0.59474      
40              0.84930         0.71926         0.74180         1.55633         0.49886         0.51302      
41              1.07845         0.65116         0.67407         1.36626         0.56084         0.57899      
42              0.87683         0.71644         0.74035         1.35882         0.56292         0.58235      
43              0.77645         0.74792         0.77018         1.37335         0.56868         0.58759      
44              0.70891         0.76738         0.79114         1.37505         0.57162         0.58969      
45              0.72367         0.76100         0.78248         1.37393         0.57246         0.58881      
46              0.67520         0.77442         0.79789         1.42210         0.56190         0.57737      
47              0.66887         0.77754         0.79806         1.41311         0.56710         0.58194      
48              0.68296         0.77360         0.79577         1.41960         0.56040         0.57516      
49              0.64036         0.78296         0.80373         1.42530         0.56598         0.58104      
50              0.65217         0.78152         0.80293         1.42890         0.55902         0.57353      
