DEBUG:root:Creating folder `./models/2020-09-24_182934`
INFO:root:Saving configuration file in `/home/paperspace/learning-to-learn/models/2020-09-24_182934/config.json`
cuda
Namespace(batch_size=10, dataset='quickdraw', first_order=False, folder='/storage/smb79ck2/ndata/', hidden_size=20, meta_lr=0.0005, num_batches=100, num_epochs=50, num_shots=5, num_shots_test=5, num_steps=5, num_training_samples=20, num_ways=5, num_workers=1, output_folder='./models', random_seed=123, step_size=0.005, use_cuda=True, verbose=True)
epoch           train loss      train acc       train prec      val loss        val acc         val prec     
1               1.40506         0.42980         0.43685         1.28350         0.49936         0.50513      
2               1.17499         0.55260         0.56167         1.13042         0.57372         0.58392      
3               1.05465         0.60300         0.61647         1.06727         0.60336         0.61248      
4               0.98270         0.62932         0.64237         1.03539         0.61448         0.62525      
5               0.94142         0.64980         0.66382         0.98793         0.63676         0.64981      
6               0.90115         0.66660         0.68245         0.97970         0.63856         0.65119      
7               0.87899         0.67492         0.69146         0.95085         0.65516         0.66805      
8               0.83588         0.69788         0.71675         0.94317         0.65172         0.66630      
9               0.80797         0.70736         0.72475         0.91723         0.66772         0.68365      
10              0.81374         0.70564         0.72189         0.90365         0.67580         0.69170      
11              0.79365         0.71600         0.73437         0.89101         0.67560         0.68999      
12              0.79244         0.71728         0.73587         0.89566         0.67764         0.69264      
13              0.77952         0.72156         0.73901         0.86481         0.68756         0.70335      
14              0.75431         0.72624         0.74379         0.86240         0.69420         0.71168      
15              0.75105         0.73056         0.74647         0.85705         0.69044         0.70666      
16              0.74121         0.73336         0.74937         0.83507         0.69972         0.71571      
17              0.72611         0.74204         0.75993         0.85281         0.69184         0.70985      
18              0.71138         0.74656         0.76532         0.84903         0.69596         0.71417      
19              0.71290         0.74340         0.76123         0.80787         0.71532         0.72973      
20              0.68643         0.75408         0.77282         0.81855         0.71232         0.72829      
21              0.68005         0.76300         0.78010         0.81984         0.71160         0.72796      
22              0.66654         0.76232         0.78066         0.79092         0.71800         0.73416      
23              0.66203         0.76536         0.78491         0.77740         0.72400         0.74054      
24              0.65137         0.76684         0.78540         0.77503         0.72432         0.74293      
25              0.63795         0.77580         0.79316         0.77465         0.72748         0.74383      
26              0.62320         0.78080         0.79912         0.78778         0.72172         0.73982      
27              0.66548         0.76676         0.78672         0.82112         0.71648         0.73569      
28              0.63293         0.77984         0.79608         0.76783         0.72720         0.74203      
29              0.59464         0.79124         0.80830         0.76520         0.72728         0.74435      
30              0.57814         0.79404         0.81217         0.73264         0.74116         0.75609      
31              0.55938         0.80360         0.82101         0.76360         0.73092         0.74788      
32              0.55426         0.80408         0.82122         0.73410         0.74272         0.76038      
33              0.54688         0.80596         0.82362         0.75699         0.73616         0.75432      
34              0.51460         0.81940         0.83539         0.72725         0.74832         0.76301      
35              0.50658         0.82136         0.83676         0.72386         0.74464         0.76271      
36              0.50210         0.82256         0.83798         0.72475         0.74780         0.76342      
37              0.46162         0.83632         0.85177         0.72598         0.75052         0.76607      
38              0.46680         0.83452         0.84980         0.71079         0.75504         0.77078      
39              0.46666         0.83732         0.85320         0.71328         0.75272         0.76745      
40              0.44470         0.84168         0.85729         0.72798         0.74736         0.76354      
41              0.43680         0.84452         0.86000         0.72203         0.75412         0.76751      
42              0.41825         0.85104         0.86486         0.73781         0.74796         0.76264      
43              0.45068         0.84180         0.85763         0.73730         0.74296         0.76101      
44              0.43126         0.84724         0.86123         0.72786         0.74328         0.75892      
45              0.43608         0.84624         0.86060         0.69876         0.75660         0.77393      
46              0.40962         0.85496         0.86976         0.72479         0.75016         0.76622      
47              0.40841         0.85472         0.86987         0.72160         0.75072         0.76490      
48              0.39904         0.85748         0.87226         0.72770         0.74816         0.76431      
49              0.38350         0.86332         0.87793         0.72270         0.74612         0.76116      
50              0.37276         0.86760         0.88046         0.71607         0.75544         0.77183      
