DEBUG:root:Creating folder `./models/2020-09-24_220801`
INFO:root:Saving configuration file in `/home/paperspace/learning-to-learn/models/2020-09-24_220801/config.json`
cuda
Namespace(batch_size=10, dataset='quickdraw', first_order=False, folder='/storage/smb79ck2/ndata/', hidden_size=20, meta_lr=0.0005, num_batches=100, num_epochs=50, num_shots=10, num_shots_test=10, num_steps=5, num_training_samples=20, num_ways=5, num_workers=1, output_folder='./models', random_seed=123, step_size=0.005, use_cuda=True, verbose=True)
epoch           train loss      train acc       train prec      val loss        val acc         val prec     
1               1.31541         0.48180         0.48725         1.13849         0.57836         0.58065      
2               1.02484         0.62696         0.63431         0.98288         0.64014         0.64650      
3               0.89400         0.67408         0.68393         0.93114         0.65912         0.66703      
4               0.86402         0.68490         0.69346         0.89747         0.67498         0.68312      
5               0.80686         0.70894         0.71948         0.87769         0.68258         0.69157      
6               0.76717         0.72214         0.73113         0.84183         0.69812         0.70598      
7               0.75316         0.72694         0.73715         0.83137         0.70444         0.71357      
8               0.72644         0.74216         0.75172         0.80769         0.71490         0.72364      
9               0.71134         0.74978         0.76079         0.76856         0.73026         0.74017      
10              0.67314         0.76290         0.77362         0.77749         0.72894         0.73943      
11              0.77026         0.72916         0.73880         0.82870         0.70748         0.71700      
12              0.69024         0.75780         0.76855         0.76737         0.72866         0.73758      
13              0.65611         0.76860         0.77703         0.74644         0.73842         0.74828      
14              0.64289         0.77218         0.78223         0.76148         0.73174         0.74081      
15              0.64161         0.77386         0.78383         0.71430         0.75286         0.76285      
16              0.69326         0.75546         0.76655         0.76632         0.73396         0.74329      
17              0.64490         0.77260         0.78144         0.74482         0.73852         0.74818      
18              0.61638         0.78236         0.79309         0.72920         0.74680         0.75565      
19              0.60985         0.78704         0.79728         0.71608         0.75238         0.76268      
20              0.56702         0.80270         0.81282         0.71740         0.75054         0.76093      
21              0.57212         0.80092         0.81141         0.71478         0.75024         0.75992      
22              0.55658         0.80496         0.81498         0.71623         0.75140         0.76113      
23              0.52604         0.81762         0.82743         0.69581         0.75786         0.76798      
24              0.52751         0.81710         0.82649         0.71713         0.74956         0.76004      
25              0.54986         0.81148         0.82250         0.71203         0.75126         0.76072      
26              0.49431         0.83094         0.84071         0.71910         0.74614         0.75689      
27              0.47450         0.83616         0.84576         0.72152         0.74618         0.75515      
28              0.49999         0.82680         0.83695         0.71449         0.75182         0.76478      
29              0.46327         0.83954         0.84949         0.71206         0.75286         0.76309      
30              0.51995         0.82058         0.83146         0.70272         0.75454         0.76548      
31              0.54461         0.81158         0.82246         0.72145         0.75024         0.76085      
32              0.45552         0.84238         0.85196         0.70616         0.75634         0.76683      
33              0.41817         0.85532         0.86381         0.70399         0.75692         0.76711      
34              0.39793         0.86192         0.86982         0.72272         0.75122         0.76009      
35              0.38496         0.86518         0.87352         0.71094         0.75606         0.76530      
36              0.40119         0.86064         0.86909         0.71770         0.75632         0.76596      
37              0.40959         0.85722         0.86617         0.70178         0.75856         0.76828      
38              0.35923         0.87208         0.88060         0.70900         0.76002         0.76923      
39              0.35759         0.87570         0.88307         0.71872         0.75562         0.76596      
40              0.35000         0.87708         0.88476         0.71145         0.75842         0.76763      
41              0.32834         0.88280         0.89021         0.71397         0.75656         0.76674      
42              0.30522         0.89268         0.89977         0.72637         0.75824         0.76704      
43              0.30888         0.88934         0.89682         0.71941         0.75790         0.76749      
44              0.30092         0.89342         0.90040         0.73393         0.75116         0.76064      
45              0.31948         0.88950         0.89739         0.73018         0.75840         0.76775      
46              0.35518         0.87506         0.88268         0.72287         0.75500         0.76411      
47              0.30570         0.89166         0.89848         0.74065         0.75282         0.76202      
48              0.31553         0.89122         0.89856         0.72289         0.75546         0.76403      
49              0.27288         0.90492         0.91154         0.73867         0.75430         0.76349      
50              0.27333         0.90368         0.91027         0.77121         0.74714         0.75571      
