DEBUG:root:Creating folder `./models/2020-09-23_004223`
INFO:root:Saving configuration file in `/home/paperspace/learning-to-learn/models/2020-09-23_004223/config.json`
cuda
Namespace(batch_size=25, dataset='quickdraw', first_order=False, folder='/storage/smb79ck2/ndata/', hidden_size=20, meta_lr=0.001, num_batches=100, num_epochs=50, num_shots=1, num_shots_test=1, num_steps=5, num_training_samples=100, num_ways=10, num_workers=1, output_folder='./models', random_seed=123, step_size=0.01, use_cuda=True, verbose=True)
epoch           train loss      train acc       train prec      val loss        val acc         val prec     
1               2.20134         0.21044         0.13559         2.10479         0.26464         0.17926      
2               2.01384         0.30872         0.21842         1.96238         0.33040         0.23704      
3               1.91081         0.35320         0.25839         1.90924         0.35540         0.26020      
4               1.84974         0.37152         0.27422         1.86116         0.37296         0.27568      
5               1.80458         0.38696         0.29189         1.83976         0.38260         0.28594      
6               1.73892         0.42016         0.32037         1.80620         0.39732         0.29905      
7               1.71030         0.43136         0.33212         1.78824         0.40628         0.30919      
8               1.68951         0.43628         0.33812         1.77984         0.41052         0.31328      
9               1.67463         0.44132         0.34362         1.78238         0.40688         0.31027      
10              1.66420         0.44452         0.34727         1.75824         0.41720         0.31946      
11              1.62884         0.45760         0.36030         1.74432         0.41972         0.32280      
12              1.61324         0.46192         0.36330         1.74377         0.42468         0.32800      
13              1.58832         0.47504         0.37791         1.70489         0.43912         0.34229      
14              1.55976         0.48328         0.38388         1.69682         0.43856         0.34099      
15              1.55394         0.48680         0.38805         1.67947         0.44744         0.34871      
16              1.53724         0.48744         0.39026         1.65800         0.45404         0.35759      
17              1.54123         0.49024         0.39237         1.66912         0.44640         0.34983      
18              1.51477         0.49580         0.39758         1.65940         0.45432         0.35623      
19              1.51515         0.50012         0.40257         1.66298         0.45480         0.35812      
20              1.50563         0.50060         0.40270         1.64879         0.45912         0.36283      
21              1.50065         0.50188         0.40570         1.66757         0.45240         0.35483      
22              1.49225         0.50492         0.40731         1.64199         0.45624         0.36007      
23              1.48902         0.50792         0.41009         1.63556         0.45984         0.36250      
24              1.48061         0.51188         0.41474         1.62274         0.46960         0.37177      
25              1.47104         0.51260         0.41464         1.63859         0.46020         0.36423      
26              1.46840         0.51052         0.41334         1.64104         0.46188         0.36651      
27              1.45585         0.51788         0.41993         1.63490         0.46676         0.37249      
28              1.44266         0.52068         0.42462         1.62928         0.46984         0.37632      
29              1.45279         0.52124         0.42394         1.62150         0.46776         0.37101      
30              1.44363         0.52152         0.42522         1.60830         0.47312         0.37829      
31              1.42937         0.52568         0.43028         1.60754         0.47604         0.37966      
32              1.40752         0.53588         0.44119         1.61253         0.46960         0.37269      
33              1.41201         0.53228         0.43571         1.57365         0.48620         0.39074      
34              1.40807         0.53144         0.43603         1.58999         0.48140         0.38561      
35              1.39019         0.54108         0.44536         1.59902         0.47736         0.38332      
36              1.38771         0.54112         0.44506         1.58509         0.47936         0.38501      
37              1.39003         0.54132         0.44411         1.59194         0.48020         0.38563      
38              1.36108         0.55088         0.45673         1.58001         0.48384         0.39001      
39              1.36597         0.54716         0.45269         1.58739         0.48864         0.39587      
40              1.36544         0.54980         0.45459         1.58358         0.48544         0.39161      
41              1.36627         0.54824         0.45436         1.57509         0.49092         0.39826      
42              1.35644         0.54880         0.45436         1.55376         0.49508         0.40135      
43              1.35301         0.55248         0.45728         1.59102         0.48400         0.38910      
44              1.33225         0.56120         0.46835         1.56709         0.49052         0.39580      
45              1.36268         0.54840         0.45391         1.54801         0.49568         0.40032      
46              1.33460         0.56160         0.46676         1.57671         0.48816         0.39122      
47              1.34911         0.55460         0.46036         1.57677         0.48972         0.39431      
48              1.34384         0.55504         0.46124         1.55930         0.49488         0.40287      
49              1.33174         0.55992         0.46488         1.56200         0.49204         0.39814      
50              1.32320         0.56148         0.46717         1.56158         0.49108         0.39584      
