DEBUG:root:Creating folder `./models/2020-09-24_181123`
INFO:root:Saving configuration file in `/home/paperspace/learning-to-learn/models/2020-09-24_181123/config.json`
cuda
Namespace(batch_size=10, dataset='quickdraw', first_order=False, folder='/storage/smb79ck2/ndata/', hidden_size=20, meta_lr=0.0005, num_batches=100, num_epochs=50, num_shots=10, num_shots_test=10, num_steps=5, num_training_samples=20, num_ways=10, num_workers=1, output_folder='./models', random_seed=123, step_size=0.005, use_cuda=True, verbose=True)
epoch           train loss      train acc       train prec      val loss        val acc         val prec     
1               2.21670         0.18830         0.17845         2.09227         0.26671         0.26321      
2               1.90070         0.36185         0.36171         1.76134         0.42953         0.42894      
3               1.61254         0.48093         0.48991         1.55545         0.50399         0.50970      
4               1.45039         0.53997         0.55261         1.44512         0.53863         0.54847      
5               1.32141         0.58249         0.59789         1.34732         0.57708         0.58727      
6               1.21462         0.61683         0.63253         1.26815         0.59705         0.61374      
7               1.12133         0.64629         0.66335         1.26631         0.59797         0.61068      
8               1.07132         0.66359         0.67859         1.18511         0.62646         0.63890      
9               1.01891         0.67879         0.69387         1.17282         0.62897         0.64089      
10              0.95250         0.69943         0.71599         1.12048         0.64593         0.65843      
11              0.98044         0.69268         0.70793         1.18015         0.62578         0.63928      
12              0.92576         0.70500         0.72078         1.14571         0.63526         0.64858      
13              0.90284         0.71339         0.72986         1.24078         0.60548         0.62157      
14              0.93934         0.70454         0.72240         1.21061         0.61352         0.62772      
15              0.87427         0.72102         0.73721         1.19284         0.61800         0.63057      
16              0.83880         0.73244         0.74904         1.18263         0.62227         0.63257      
17              0.81602         0.74057         0.75740         1.21323         0.61361         0.62463      
18              0.79183         0.74839         0.76458         1.21557         0.61316         0.62467      
19              0.77759         0.75113         0.76637         1.19905         0.61759         0.63034      
20              0.73910         0.76362         0.77909         1.22865         0.60748         0.62014      
21              0.74678         0.75942         0.77529         1.23100         0.60748         0.61817      
22              0.71901         0.77090         0.78537         1.23707         0.60558         0.61756      
23              0.71448         0.77150         0.78676         1.26018         0.59809         0.61234      
24              0.71825         0.77104         0.78664         1.25524         0.60001         0.61618      
25              0.72720         0.76802         0.78387         1.23980         0.60334         0.61871      
26              0.70772         0.77643         0.79106         1.24580         0.60336         0.61799      
27              0.71051         0.77198         0.78776         1.32257         0.57397         0.58564      
28              0.75325         0.75994         0.77642         1.27240         0.59420         0.61055      
29              0.69438         0.78002         0.79659         1.23693         0.60785         0.62320      
30              0.63234         0.79526         0.80992         1.24842         0.60437         0.61672      
31              0.62771         0.80251         0.81641         1.26612         0.60662         0.62083      
32              0.57072         0.81415         0.82678         1.29221         0.60110         0.61307      
33              0.57612         0.81355         0.82685         1.28667         0.60072         0.61331      
34              0.62352         0.79876         0.81235         1.27268         0.60068         0.61503      
35              0.57317         0.81634         0.82941         1.30731         0.59235         0.60454      
36              0.71150         0.76816         0.78326         1.26816         0.59479         0.60665      
37              0.63034         0.79779         0.81128         1.29344         0.59255         0.60689      
38              0.56204         0.81861         0.83208         1.32906         0.58593         0.59968      
39              0.55911         0.81985         0.83329         1.28347         0.60415         0.61662      
40              0.64687         0.79253         0.80730         1.28120         0.59749         0.61147      
41              0.56468         0.81870         0.83249         1.29691         0.59163         0.60695      
42              0.53984         0.82541         0.83805         1.31599         0.59513         0.61178      
43              0.53956         0.82648         0.83880         1.32141         0.59442         0.60593      
44              0.51689         0.83130         0.84371         1.34051         0.59326         0.60608      
45              0.54231         0.82095         0.83310         1.37322         0.56817         0.58292      
46              0.61965         0.79915         0.81317         1.31508         0.59459         0.60792      
47              0.54352         0.82468         0.83783         1.32309         0.59380         0.60740      
48              0.50282         0.83729         0.84917         1.29680         0.59495         0.60860      
49              0.54454         0.82719         0.83929         1.27873         0.59461         0.60619      
50              0.53562         0.82865         0.84077         1.34717         0.58874         0.59982      
